time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
20,7316,10723,15672,11049,11626,11036,136474.45622155545,227547.67085559928,575498.243763072,1611.0
21,7263,10808,15979,11179,11717,11154,137563.628317008,228461.51135643575,587424.2427259614,1611.0
22,7214,10895,16331,11287,11838,11315,138963.84095378063,229491.8268832169,599845.8677527187,1611.0
23,7175,10983,16750,11391,12033,11484,140275.95867938947,230589.35998190835,610969.3747797636,1611.0
24,7104,11030,17094,11476,12157,11595,141499.30216508274,231723.28211203802,624190.3428954193,1611.0
25,7021,11006,17304,11487,12226,11618,143072.3204759777,232930.91945616057,644967.8744801169,1611.0
26,6980,11030,17623,11612,12263,11758,144607.56509956307,234409.52083384834,660705.3867000043,1611.0
27,6890,10962,17780,11660,12245,11727,146534.96847896118,235947.53882959826,677725.8511333184,1611.0
28,6814,10852,17830,11646,12158,11692,147873.295410885,237249.98069800073,698225.9423268755,1611.0
29,6808,10891,18083,11695,12280,11807,149163.8723029808,238798.3005020309,753477.6507399442,1611.0
30,6778,11004,18403,11856,12380,11949,150907.6138230836,240240.0148228,779679.4897380442,1611.0
31,6688,10719,18373,11714,12174,11892,152624.8573830542,241782.27993717845,802496.1012155282,1611.0
32,6712,10765,18541,11809,12241,11968,153914.4927104504,242956.02375562454,821478.6015694669,1611.0
33,6684,10857,18865,11929,12346,12131,155340.23420506014,244270.91572174378,838820.8779588081,1611.0
34,6651,10929,19171,12047,12439,12265,157105.85443812795,245876.12520366354,861124.2157669922,1611.0
35,6612,11043,19514,12121,12621,12427,158431.36470702852,247327.21988180903,884627.9088209899,1611.0
36,6567,11079,19898,12211,12766,12567,160271.9456975765,249180.35545189615,913239.1953138872,1611.0
37,6486,10964,20041,12155,12780,12556,162415.804226569,250869.58406680566,941997.2186092483,1611.0
38,6424,10889,20142,12133,12744,12578,164067.12749599092,252609.9326296828,996419.6098012419,1611.0
39,6388,10901,20384,12146,12837,12690,165997.45408290566,254329.77489003236,1.0415619245932668e6,1611.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1612.0
1,11488,13577,11331,12463,12822,11111,112257.47643341239,207972.68282349527,388645.8252767025,1612.0
2,11107,13863,11344,12261,12691,11362,113020.0232664705,208690.41032556273,393390.24289137794,1612.0
3,10819,14019,11315,12130,12582,11441,115074.77932377256,209563.73606220973,399234.4209378203,1612.0
4,10544,14021,11230,12074,12374,11347,117163.13539241372,210571.04483958503,405967.5461856998,1612.0
5,10362,14076,11252,12015,12282,11393,118992.23831420053,211552.14166861784,412652.1755601339,1612.0
6,10151,14055,11152,11846,12164,11348,120649.10805496271,212472.70633167817,420127.82379542186,1612.0
7,9975,14008,11075,11739,12036,11283,122100.70772400376,213369.31101261816,428468.5872919972,1612.0
8,9853,14075,11004,11678,12005,11249,123258.11573810216,214211.18457085604,436714.73693823256,1612.0
9,9416,13583,10632,11197,11516,10918,124359.16641869118,215087.4581812597,445888.1379921194,1612.0
10,9365,13637,10474,11176,11432,10868,125196.05127022065,215796.63737036692,454387.090340051,1612.0
11,9098,13466,10296,10926,11224,10710,126429.19740929928,216286.99149189188,464149.61925356294,1612.0
12,8959,13522,10265,10850,11183,10713,127526.39590645544,217152.78022439926,472968.8110124834,1612.0
13,8820,13533,10224,10811,11089,10677,128383.83976594105,217949.4054765333,481746.90726722707,1612.0
14,8743,13671,10201,10785,11134,10696,129414.0910441419,218991.46443199005,492288.25221672,1612.0
15,8654,13751,10235,10769,11156,10715,130276.21230358562,219949.63452180187,503385.9727167999,1612.0
16,8514,13589,10249,10661,11075,10616,131208.60564592006,220738.4241503025,514612.6922782899,1612.0
17,8451,13625,10298,10674,11068,10632,132080.5423321533,221710.4556542688,523177.5929397578,1612.0
18,8363,13629,10292,10661,11044,10579,133086.15790422246,222507.04637787578,534721.9845543104,1612.0
19,8247,13390,10331,10522,10969,10477,133985.3476401831,223197.94219042885,545519.8480494156,1612.0
20,8250,13458,10363,10564,10993,10514,135080.46022314663,224006.68594597475,556337.3067629908,1612.0
21,8291,13668,10434,10661,11082,10650,135756.12939832124,224915.78845883222,565981.4843236601,1612.0
22,8277,13840,10499,10745,11136,10735,136499.69744471388,225950.19844101643,574748.2763284728,1612.0
23,8286,14103,10609,10903,11239,10856,137100.73651286354,226946.67814127792,587305.3342137532,1612.0
