time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
33,9550,14175,10918,11580,11778,11285,255824.20194524768,248352.90561935504,825063.8440678837,1301.0
34,9545,14282,10980,11612,11837,11358,266967.34729974315,249594.47460566365,857014.2335006682,1301.0
35,9567,14405,11026,11672,11893,11433,288380.64988210425,251185.74571036542,892532.1011197673,1301.0
36,9547,14549,11081,11703,11954,11520,323453.8701371859,252752.68394989372,995351.114583939,1301.0
37,9449,14456,11136,11671,11884,11486,354494.07820700743,254491.06121513303,1.1171209690703421e6,1301.0
38,9402,14398,11187,11603,11834,11550,390506.80792643793,256295.88176380136,1.1948387194321814e6,1301.0
39,9325,14446,11228,11606,11809,11584,414296.89486001927,257914.01247534103,1.4156278058964168e6,1301.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1302.0
1,12131,13213,11870,12237,13238,11739,111926.41160869226,207992.80474120876,389844.1522348715,1302.0
2,12268,13368,12388,12509,13407,12108,112435.5120039574,209011.4491823636,396136.9402878181,1302.0
3,12150,13293,12663,12607,13367,12132,113839.40276039306,210043.48310040598,402579.2625875522,1302.0
4,12020,13145,12809,12643,13278,12053,115935.21874327511,211255.69876838772,407948.1475338716,1302.0
5,11962,13054,12997,12714,13250,12049,118028.94051255076,212489.76302559936,413770.26291659905,1302.0
6,11809,12885,13104,12688,13122,11988,120365.81511502044,213692.09985786388,420363.7455213251,1302.0
7,11701,12782,13267,12728,13047,11975,122475.05051060645,214866.61288072314,427359.69919490285,1302.0
8,11524,12619,13380,12636,12968,11919,124619.01843731094,216067.38486361862,434707.8409231713,1302.0
9,11063,12092,13012,12236,12470,11461,127082.0502472049,217269.1358544737,445813.5262979282,1302.0
10,10977,12002,13115,12257,12430,11407,128717.29575549818,218253.79922790657,453342.3623264725,1302.0
11,10707,11688,13056,12055,12237,11159,130590.82251517025,219181.85834288885,460371.8233592382,1302.0
12,10628,11553,13236,12079,12214,11124,132200.74029859694,220235.0822643075,468899.8253223274,1302.0
13,10403,11338,13285,11915,12150,10961,133650.5432921045,221596.96601469137,477356.4866847176,1302.0
14,10329,11260,13517,11900,12181,11025,134914.0732077401,222769.99371110185,486941.3410432842,1302.0
15,10185,11200,13679,11864,12166,11034,136597.78190888232,224255.35046620836,496350.54083166696,1302.0
16,9934,11081,13616,11706,12073,10852,138465.68118290737,225721.82499356085,505549.61143562116,1302.0
17,9933,11035,13802,11739,12141,10890,139820.33632226204,227042.47954154623,518569.9738090967,1302.0
18,9846,10932,13909,11675,12079,10933,141279.26923608175,228294.4044093834,528407.8784428398,1302.0
19,9711,10703,13828,11538,11842,10862,142795.01101483047,229256.30792355497,543343.0955446623,1302.0
20,9710,10638,13955,11526,11893,10884,144227.35814341594,230261.8981625472,561099.597664365,1302.0
21,9751,10642,14151,11580,11967,10997,145830.8876078031,231282.02691583903,577201.2414996683,1302.0
22,9757,10684,14408,11683,12048,11118,147594.5180992085,232464.8912939373,600390.945576496,1302.0
23,9768,10721,14674,11771,12188,11204,149161.3361158599,233978.29148839242,615606.3147701053,1302.0
24,9716,10719,14894,11841,12215,11273,150835.25019849345,235444.83828797005,632101.2645900996,1302.0
25,9632,10697,15116,11853,12317,11275,153320.63332171674,236841.84904645503,645547.2256758084,1302.0
26,9641,10685,15345,11967,12409,11295,155322.33293452367,238215.54319517544,664067.3467762696,1302.0
27,9543,10606,15450,11889,12432,11278,157541.50765077386,239771.82320570617,691596.4218423961,1302.0
28,9337,10468,15473,11758,12340,11180,160318.23235719829,241304.31796815462,715271.8836821201,1302.0
29,9334,10420,15667,11848,12351,11222,162677.28331435993,242933.89418820225,737638.0742203041,1302.0
30,9367,10419,15853,11971,12370,11298,165703.2534857438,244591.6776221629,769312.1785666273,1302.0
31,9166,10233,15750,11820,12113,11216,168725.4655108577,246170.68219678334,806619.5952325909,1302.0
32,9186,10279,15848,11839,12207,11267,171276.56707282452,247667.2582030892,846540.8338603202,1302.0
33,9200,10322,16017,11892,12288,11359,173881.75286743586,249274.34270952095,904543.3037915778,1302.0
34,9221,10311,16215,11916,12344,11487,176778.52228226486,251001.4656153596,942510.0370455552,1302.0
35,9218,10347,16507,11997,12422,11653,180416.71720067522,252830.93141789164,996787.3920239079,1302.0
36,9196,10331,16762,12023,12470,11796,183575.71557239242,254575.84765314483,1.0310430943634983e6,1302.0
37,9053,10268,16873,11996,12437,11761,190591.4378205847,256457.92802396373,1.0725388501987725e6,1302.0
38,8993,10176,16975,11968,12405,11771,194425.46985835853,258561.48139154288,1.1265404591645505e6,1302.0
39,8934,10078,17077,11913,12371,11805,198680.61526144363,261292.12160011282,1.175851234313289e6,1302.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1303.0
1,11771,13611,11838,12053,13453,11714,111871.22893224692,208289.66061340814,389685.52724752657,1303.0
2,11696,13978,12312,12375,13562,12049,112613.62792904321,209313.59552161387,395673.577048325,1303.0
3,11544,13998,12510,12505,13516,12031,113874.98009878153,210275.36635372884,403031.47288891656,1303.0
4,11373,13929,12649,12541,13441,11969,115223.80468393725,211453.22793557064,409838.39263196883,1303.0
5,11246,13907,12801,12570,13384,12000,116968.56384707222,212597.2468166909,416646.81028986804,1303.0
6,11048,13807,12914,12557,13237,11975,118484.66223251709,213816.15403211137,427210.25120747794,1303.0
7,10893,13749,12995,12563,13142,11932,120756.35089007812,215034.8491777453,435673.89199911756,1303.0
8,10666,13675,13076,12470,13053,11894,122892.09070129228,216380.7850729287,444291.56831426086,1303.0
9,10164,13188,12742,12032,12550,11512,125533.94160056116,217809.68923437365,455629.5903103822,1303.0
